country,region,year,lifeExp,pop,gdpPercap
Niger,Africa,2018,62.5,22300000,949
Nigeria,Africa,2018,66.1,196000000,5570
Norway,Europe,2018,82.4,5350000,64800
Oman,Asia,2018,78.1,4830000,38900
Pakistan,Asia,2018,68,201000000,5220
Panama,Americas,2018,79.4,4160000,23400
Papua New Guinea,Asia,2018,61.1,8420000,2800
Paraguay,Americas,2018,74.8,6900000,9280
Peru,Americas,2018,80.2,32600000,12700
Philippines,Asia,2018,70.5,107000000,7960
Poland,Europe,2018,78.2,38100000,27700
Portugal,Europe,2018,81.3,10300000,27900
Qatar,Asia,2018,80.7,2690000,121000
Romania,Europe,2018,75.5,19600000,23400
Russia,Europe,2018,71.1,144000000,24800
Rwanda,Africa,2018,68.3,12500000,1930
St. Lucia,Americas,2018,76.6,180000,10900
St. Vincent and the Grenadines,Americas,2018,72,110000,11400
Samoa,Asia,2018,72.4,198000,5950
Sao Tome and Principe,Africa,2018,70.9,209000,3180
Saudi Arabia,Asia,2018,77.6,33600000,50100
Senegal,Africa,2018,66.8,16300000,2570
Serbia,Europe,2018,76.2,8760000,14800
Seychelles,Africa,2018,74.2,95200,27500
Sierra Leone,Africa,2018,60,7720000,1490
Singapore,Asia,2018,84,5790000,83900
Slovak Republic,Europe,2018,77.2,5450000,31400
Slovenia,Europe,2018,81.1,2080000,30900
Solomon Islands,Asia,2018,63.6,623000,2110
Somalia,Africa,2018,58,15200000,629
South Africa,Africa,2018,63.5,57400000,12300
Spain,Europe,2018,83.2,46400000,34700
Sri Lanka,Asia,2018,77.8,21000000,12400
Sudan,Africa,2018,68.8,41500000,4440
Suriname,Americas,2018,71.6,568000,13200
Swaziland,Africa,2018,58.6,1390000,7600
Sweden,Europe,2018,82.4,9980000,47500
Switzerland,Europe,2018,83.5,8540000,57100
Syria,Asia,2018,69.8,18300000,2900
Tajikistan,Asia,2018,72.2,9110000,2920
Tanzania,Africa,2018,65.5,59100000,2780
Thailand,Asia,2018,78.2,69200000,16900
Timor-Leste,Asia,2018,73.3,1320000,1490
Togo,Africa,2018,63.1,7990000,1480
Tonga,Asia,2018,70.7,109000,5500
Trinidad and Tobago,Americas,2018,73.4,1370000,30300
Tunisia,Africa,2018,78,11700000,11600
Turkey,Europe,2018,79.6,81900000,24900
Turkmenistan,Asia,2018,70.5,5850000,17900
Uganda,Africa,2018,62.9,44300000,1820
Ukraine,Europe,2018,72.3,44000000,8330
United Arab Emirates,Asia,2018,76.9,9540000,68200
United Kingdom,Europe,2018,81.2,66600000,40100
United States,Americas,2018,79.1,327000000,54900
Uruguay,Americas,2018,77.6,3470000,21300
Uzbekistan,Asia,2018,70.5,32400000,6690
Vanuatu,Asia,2018,64.3,282000,2900
Venezuela,Americas,2018,75.9,32400000,14200
Palestine,Asia,2018,72.2,5050000,2700
Vietnam,Asia,2018,74.9,96500000,6550
Yemen,Asia,2018,67.1,28900000,2430
Zambia,Africa,2018,59.5,17600000,3860
Zimbabwe,Africa,2018,60.2,16900000,1950
South Sudan,Africa,2018,60.7,12900000,1820
